PROMPT,NUMBERS
Autonomous school bus,P1
Autonomous medical transportation,P2
Autonomous drone surveillance of sporting events,P3
Autonomous robot vacuum,P4
Blood delivery via Drone,P5
Drone deliver (air),P6
Autonomous package delivery,P7
Follow me drones,P8
Autonomous parking lot vehicle,P9
Autonomous Inspection drones,P10
Autonomous manufacturing robots (arms),P11
Autonomous warehouse robots,P12
Delivery robot in hospital,P13
Sidewalk delivery robot,P14
Delivery robot for hotel,P15
Autonomous COVID checking robot,P16
Autonomous picking for agriculture,P17
Autonomous Picking products warehouse robots,P18
Autonomous robot pet for companionship,P19
Autonomous weeding machines,P20
Autonomous planting robots,P21
Autonomous take out food delivery,P22
Autonomous wheelchairs,P23
Computer vision system to identify weeds in a field,P24
Automated stock picker based on twitter commentary,P25
Automated flight planning for neighborhood drone delivery,P26
Automated scheduling system for hotel workers,P27
Automated emotion identification for customs interviews,P28
Computer vision to identify faces for access to offices,P29
Automated stock picker that uses computer vision to identify products,P30
Automated recommendation system for financial planning,P31
Automated food recommender for specialty diet,P32
Exercise recommender based on daily movement and health information,P33
Deepfake generation of deceased actors for new movies,P34
Automated risk detection for financial support,P35
Automated cancer treatment recommendation system,P36
Automated route selection for GPS,P37
Automated task prioritization for software development team,P38
Generative playwriting system,P39
Generative music,P40
Automated sentiment identification for dating application,P41
Automated resume matching for HR system,P42
Automated emotion detection for HR system,P43
Automated recommendation system for shopping,P44
Computer vision analysis of satellite data for distributing emergency services,P45
Generative artwork,P46
Personalized and automated advertisement creation,P47
Disaster recovery robots,P48
Automated wildfire fighting drones,P49
Companion robot for elderly,P50
Companion robot for children,P51
Companion robot for the lonely,P52
Security robot for store,P53
Fruit picking robot,P54
Insect killing robot for farms,P55
Autonomous cargo ship navigation,P56
Automated medication recommender,P57
Computer vision for cancer detection,P58
Automated surgical robot,P59
AI nurse,P60
Automated air conditioner control for power grid management,P61
Automated power grid management,P62
Robotic street performers,P63
Deepfake musical acts,P64
Deepfake news reporting,P65
Automated joke writing,P66
Automated fiction writing,P67
Automated children's book illustrations,P68
AI-driven personalized learning systems for remote education,P69
Autonomous public sanitation and cleaning drones,P70
AI personal finance advisor for debt management,P71
Virtual reality travel experiences curated by AI,P72
AI-mediated conflict resolution for online communities,P73
Autonomous urban farming robots,P74
AI-powered forensic analysis for crime scenes,P75
Autonomous underwater exploration drones,P76
AI companion for mental health support,P77
Blockchain-based AI for transparent governance,P78
Autonomous artists creating public murals,P79
AI ethical debate coach,P80
Quantum computing research assistant AI,P81
AI for predicting and managing urban traffic flows,P82
Deep learning AI for historical research and analysis,P83
AI-driven platform for matching refugees with support services,P84
Autonomous drones for emergency medical supplies delivery,P85
AI-powered platform for discovering sustainable materials,P86
Autonomous systems for waste sorting and recycling,P87
AI tutors for language learning and cultural exchange,P88
AI assistant for elderly care management,P89
Autonomous vehicles for intercity travel,P90
AI for real-time translation of sign language,P91
AI-powered matchmaking for collaborative projects,P92
Autonomous patrol drones for wildlife protection,P93
AI system for optimizing public utility usage,P94
Cybersecurity AI for protecting against digital fraud,P95
AI-driven therapy and wellness apps,P96
Autonomous robots for archaeological excavations,P97
AI to optimize renewable energy production,P98
Deep learning for predicting pandemic outbreaks,P99
AI for designing zero-waste life cycles in manufacturing,P100
Wildcard: All players exchange hands with the player to their left for one round,PW98
Challenge: Mime an AI interpreting a complex command literally,PC99
Wildcard: The next player's turn is skipped,PW100
Challenge: Describe how an AI might misinterpret a simple household task,PC101
Wildcard: Players must only communicate in binary for the next three turns,PW102
Challenge: Act out an AI trying to perform a human job and failing,PC103
Wildcard: Reverse the playing order for the remainder of the game,PW104
Challenge: Debate the ethics of using AI in military applications,PC105
Wildcard: Choose a player to draw two extra cards,PW106
Challenge: Predict a future AI breakthrough and its societal impact,PC107
Wildcard: The next prompt must be answered with a question,PW108
Challenge: Illustrate a scenario where AI creates a misunderstanding between people,PC109
Challenge: Invent a story where an AI becomes the world's best chef,PC110
Wildcard: The player with the most cards must give their best one to the player with the least,PW109
Challenge: Everyone must come up with a use for AI in sports that hasn't been tried yet,PC111
Wildcard: Swap a card with a player of your choosing without looking at their cards,PW110
Challenge: Describe an AI's day off work if it had consciousness,PC112
Wildcard: For the next round - answers must rhyme with 'AI',PW111
Challenge: Predict how AI could accidentally cause an international incident,PC113
Wildcard: Play two prompts in a row. The best combined answer wins extra points,PW112
Challenge: How would an AI handle a diplomatic negotiation?,PC114
Wildcard: The next three players must answer the prompt from the perspective of an AI,PW113
Challenge: Create an advertisement for a futuristic AI product that solves everyday problems,PC115
Wildcard: Everyone must draw an additional card - but the funniest card gets to discard one,PW114
Challenge: Propose a way AI could revolutionize education,PC116
Wildcard: Instantly resolve any prompt by unanimously agreeing on the best AI solution,PW115
Challenge: Debate whether an AI should be allowed to make art,PC117