Prompts,NUMBERS
Fundraising for Charity,P1
Story generation,P2
Lecture summarization,P3
legal question answering,P4
legal case judgement,P5
Blood delivery via Drone,P6
Drone Tracking,P7
Moderation of online communities,P8
Deepfake generation of deceased actors for new movies,P9
Street Art,P10
Companions for elderly,P11
Childhood Education,P12
News reporting,P13
Children’s book illustrations,P14
Child transport services,P15
Ride sharing,P16
Community Policing,P17
Street Cleaning,P18
Road Repair,P19
Parenting,P20
Exam preparation,P21
Software code tutoring,P22
Music generation,P23
Art generation,P24
Academic essay writing,P25
Sex education,P26
Community Meal Prep,P27
Policing,P28
Fitness Coaching ,P29
Car Sharing Service,P30
Wildlife Conservation,P31
Mental Health Diagnosis,P32
Improv Theatre Performances,P33
Communal Savings,P34
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,